date,end_date,name,country_code,year,status,date_status,source_urls
2027-01-01,,Ano-Novo,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html
2027-02-05,2027-02-08,Ano-Novo Chinês,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2027-02-07,,Dia da Memória de 7 de Fevereiro,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-03-08,,Dia Internacional da Mulher,CN,2027,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-03-12,,Dia da Árvore,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/zhengce/2019-12/28/content_5464840.htm
2027-04-05,,Festival Qingming,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2027-05-01,2027-05-02,Dia do Trabalho,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html
2027-05-04,,Dia da Juventude,CN,2027,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-05-12,,Dia Internacional da Enfermagem,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/zhengce/zhengceku/2020-05/26/content_5515100.htm
2027-05-30,,Dia da Memória de 30 de Maio,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-06-01,,Dia das Crianças,CN,2027,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-06-09,,Festival do Barco-Dragão,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2027-07-07,,Dia da Memória da Guerra de Resistência de 7 de Julho,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/yaowen/liebiao/202506/content_7029238.htm
2027-08-01,,Dia do Exército,CN,2027,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-09-03,,Dia da Vitória da Guerra de Resistência do Povo Chinês,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/yaowen/liebiao/202506/content_7029238.htm
2027-09-10,,Dia do Professor,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/zhengce/zhengceku/202508/content_7038098.htm
2027-09-15,,Festival do Meio-Outono,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2027-09-18,,Dia da Memória de 18 de Setembro,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/yaowen/liebiao/202506/content_7029238.htm
2027-09-30,,Dia dos Mártires,CN,2027,commemorative,confirmed,https://www.gov.cn/yaowen/liebiao/202309/content_6907102.htm
2027-10-01,2027-10-03,Dia Nacional,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html
2027-12-13,,Dia Nacional de Memória às Vítimas do Massacre de Nanquim,CN,2027,commemorative,confirmed,https://www.gov.cn/yaowen/liebiao/202412/content_6992401.htm
