date,end_date,name,country_code,year,status,date_status,source_urls
2027-01-01,,Dia da Fundação da República da China,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-01-19,,Dia dos Bombeiros,TW,2027,discretionary,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-02-04,,Antevéspera do Ano-Novo Lunar,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-02-04,,Dia do Agricultor,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.cwa.gov.tw/Data/astronomy/2026cal.pdf https://www.cwa.gov.tw/Data/astronomy/2027cal.pdf https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-02-05,,Véspera do Ano-Novo Lunar,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-02-06,2027-02-08,Ano-Novo Lunar,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-02-06,,Dia do Taoismo,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-02-09,2027-02-10,Feriado substituto do Ano-Novo Lunar,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-02-20,,Festival das Lanternas,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.cwa.gov.tw/Data/astronomy/2026cal.pdf https://www.cwa.gov.tw/Data/astronomy/2027cal.pdf https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-02-28,,Dia Memorial da Paz,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-03-01,,Feriado substituto do Dia Memorial da Paz,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-03-08,,Dia da Mulher,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-12,,Aniversário da Morte de Sun Yat-sen,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-12,,Dia da Árvore,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-14,,Dia Contra a Agressão,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-21,,Dia da Igualdade Étnica,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-29,,Dia dos Mártires da Revolução,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-29,,Dia da Juventude,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-30,,Dia Internacional do Médico,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-04-04,,Dia das Crianças,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-04-05,,Dia de Limpeza dos Túmulos (Qingming),TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
